,Origin,Destination,Price,Startdate,Flight1 Departure Time,Flight1 Arrival Time,Flight2 Departure Time,Flight2 Arrival Time,Enddate
0,HEL,LHR,$236,20231105,07:50,09:10,18:10,23:00,20231107
1,HEL,LHR,$254,20231105,14:00,15:15,18:10,23:00,20231107
2,HEL,LHR,$254,20231105,16:00,17:00,18:10,23:00,20231107
3,HEL,LHR,$236,20231105,19:35,20:40,18:10,23:00,20231107
4,HEL,LHR,$283,20231105,07:50,09:10,16:15,21:05,20231107
5,HEL,LHR,$219,20231105,07:50,09:10,07:30,12:20,20231107
6,HEL,LHR,$300,20231105,11:20,12:35,18:10,23:00,20231107
7,HEL,LHR,$302,20231105,14:00,15:15,16:15,21:05,20231107
8,HEL,LHR,$238,20231105,16:00,17:00,07:30,12:20,20231107
9,HEL,LHR,$238,20231105,14:00,15:15,07:30,12:20,20231107
10,HEL,LHR,$219,20231105,19:35,20:40,07:30,12:20,20231107
0,HEL,LHR, $219,20231106,19:35,20:40,16:15,21:05,20231108
1,HEL,LHR, $259,20231106,16:00,17:00,16:15,21:05,20231108
2,HEL,LHR, $259,20231106,14:00,15:15,16:15,21:05,20231108
3,HEL,LHR, $236,20231106,19:35,20:40,18:10,23:00,20231108
4,HEL,LHR, $259,20231106,07:50,09:10,16:15,21:05,20231108
5,HEL,LHR, $275,20231106,16:00,17:00,18:10,23:00,20231108
6,HEL,LHR, $208,20231106,19:35,20:40,07:30,12:20,20231108
7,HEL,LHR, $275,20231106,07:50,09:10,18:10,23:00,20231108
8,HEL,LHR, $275,20231106,14:00,15:15,18:10,23:00,20231108
9,HEL,LHR, $254,20231106,19:35,20:40,10:20,15:15,20231108
10,HEL,LHR, $248,20231106,16:00,17:00,07:30,12:20,20231108
0,HEL,LHR,$254,20231107,14:00,15:15,16:15,21:05,20231109
1,HEL,LHR,$254,20231107,16:00,17:00,16:15,21:05,20231109
2,HEL,LHR,$254,20231107,14:00,15:15,18:10,23:00,20231109
3,HEL,LHR,$254,20231107,16:00,17:00,18:10,23:00,20231109
4,HEL,LHR,$236,20231107,19:35,20:40,16:15,21:05,20231109
5,HEL,LHR,$236,20231107,19:35,20:40,18:10,23:00,20231109
6,HEL,LHR,$257,20231107,14:00,15:15,10:20,15:15,20231109
7,HEL,LHR,$275,20231107,07:50,09:10,18:10,23:00,20231109
8,HEL,LHR,$275,20231107,07:50,09:10,16:15,21:05,20231109
9,HEL,LHR,$257,20231107,16:00,17:00,10:20,15:15,20231109
10,HEL,LHR,$208,20231107,19:35,20:40,07:30,12:20,20231109
0,HEL,LHR,$278,20231108,14:00,15:15,16:15,21:05,20231110
1,HEL,LHR,$278,20231108,16:00,17:00,16:15,21:05,20231110
2,HEL,LHR,$278,20231108,07:50,09:10,16:15,21:05,20231110
3,HEL,LHR,$294,20231108,07:50,09:10,18:10,23:00,20231110
4,HEL,LHR,$294,20231108,14:00,15:15,18:10,23:00,20231110
5,HEL,LHR,$294,20231108,16:00,17:00,18:10,23:00,20231110
6,HEL,LHR,$278,20231108,19:35,20:40,16:15,21:05,20231110
7,HEL,LHR,$294,20231108,14:00,15:15,10:20,15:15,20231110
8,HEL,LHR,$294,20231108,16:00,17:00,10:20,15:15,20231110
9,HEL,LHR,$248,20231108,07:50,09:10,07:30,12:20,20231110
10,HEL,LHR,$248,20231108,14:00,15:15,07:30,12:20,20231110
